,0,1,2,3,4
0,Graph_N100_E221_D0.045_A0.102.csv,0.05,0.003998994827270508,0.0029959678649902344,171.0
1,Graph_N100_E221_D0.045_A0.102.csv,0.1,0.002997875213623047,0.007004976272583008,145.0
2,Graph_N100_E221_D0.045_A0.102.csv,0.2,0.0019979476928710938,0.008996725082397461,104.0
3,Graph_N100_E251_D0.051_A0.1.csv,0.05,0.008571624755859375,0.002996683120727539,192.0
4,Graph_N100_E251_D0.051_A0.1.csv,0.1,0.003007173538208008,0.006006956100463867,166.0
5,Graph_N100_E251_D0.051_A0.1.csv,0.2,0.003000020980834961,0.010306358337402344,117.0
6,Graph_N100_E278_D0.056_A0.103.csv,0.05,0.00299835205078125,0.0030014514923095703,215.0
7,Graph_N100_E278_D0.056_A0.103.csv,0.1,0.0030028820037841797,0.003996610641479492,186.0
8,Graph_N100_E278_D0.056_A0.103.csv,0.2,0.002997159957885742,0.008292913436889648,136.0
9,Graph_N100_E282_D0.057_A0.114.csv,0.05,0.0031647682189941406,0.0033981800079345703,199.0
10,Graph_N100_E282_D0.057_A0.114.csv,0.1,0.0033898353576660156,0.0030181407928466797,157.0
11,Graph_N100_E282_D0.057_A0.114.csv,0.2,0.0029993057250976562,0.0032744407653808594,106.0
12,Graph_N100_E298_D0.06_A0.106.csv,0.05,0.002996206283569336,0.003002166748046875,204.0
13,Graph_N100_E298_D0.06_A0.106.csv,0.1,0.003996372222900391,0.0059986114501953125,159.0
14,Graph_N100_E298_D0.06_A0.106.csv,0.2,0.003996610641479492,0.004002094268798828,99.0
15,Graph_N100_E306_D0.062_A0.108.csv,0.05,0.0029990673065185547,0.0039958953857421875,212.0
16,Graph_N100_E306_D0.062_A0.108.csv,0.1,0.004007101058959961,0.0039975643157958984,168.0
17,Graph_N100_E306_D0.062_A0.108.csv,0.2,0.004000663757324219,0.003994464874267578,113.0
18,Graph_N100_E308_D0.062_A0.11.csv,0.05,0.004000663757324219,0.003000974655151367,216.0
19,Graph_N100_E308_D0.062_A0.11.csv,0.1,0.004001140594482422,0.00400233268737793,179.0
20,Graph_N100_E308_D0.062_A0.11.csv,0.2,0.0034835338592529297,0.003999471664428711,124.0
21,Graph_N100_E335_D0.068_A0.111.csv,0.05,0.0034019947052001953,0.003089427947998047,240.0
22,Graph_N100_E335_D0.068_A0.111.csv,0.1,0.003009796142578125,0.008463859558105469,192.0
23,Graph_N100_E335_D0.068_A0.111.csv,0.2,0.0032927989959716797,0.005096912384033203,129.0
24,Graph_N100_E384_D0.078_A0.103.csv,0.05,0.005001068115234375,0.004073619842529297,273.0
25,Graph_N100_E384_D0.078_A0.103.csv,0.1,0.005306720733642578,0.006063222885131836,210.0
26,Graph_N100_E384_D0.078_A0.103.csv,0.2,0.003995656967163086,0.006052970886230469,127.0
27,Graph_N100_E387_D0.078_A0.101.csv,0.05,0.003997325897216797,0.004996299743652344,285.0
28,Graph_N100_E387_D0.078_A0.101.csv,0.1,0.004194736480712891,0.005995750427246094,233.0
29,Graph_N100_E387_D0.078_A0.101.csv,0.2,0.003995180130004883,0.011106252670288086,160.0
30,Graph_N100_E418_D0.084_A0.104.csv,0.05,0.004203081130981445,0.005997896194458008,302.0
31,Graph_N100_E418_D0.084_A0.104.csv,0.1,0.003996372222900391,0.0070116519927978516,241.0
32,Graph_N100_E418_D0.084_A0.104.csv,0.2,0.004177093505859375,0.0069959163665771484,156.0
